,Unnamed: 0,id,sentence_text,ner_tags_str,entities_pred,llm_time,llm_prompt_tokens,llm_completion_tokens
0,0,13945,"Attendance : 1,800",O O O,[],1.698824405670166,74,11
1,1,13382,"Ties between the two neighbours , strained also over a military accord between Turkey and Israel which drew strong Iranian objections , have improved since Islamist Necmettin Erbakan took over as Turkish prime minister in June .",O O O O O O O O O O O O O B-LOC O B-LOC O O O B-MISC O O O O O B-MISC B-PER I-PER O O O B-MISC O O O O O,"[{'entity': 'Turkey', 'label': 'LOC'}, {'entity': 'Israel', 'label': 'LOC'}, {'entity': 'Iranian', 'label': 'MISC'}, {'entity': 'Necmettin Erbakan', 'label': 'PER'}, {'entity': 'Turkish', 'label': 'MISC'}]",4.066634178161621,109,111
2,2,11240,The winner has to secure a majority from the college within two rounds of voting otherwise the election will go back before the parliament .,O O O O O O O O O O O O O O O O O O O O O O O O O,[],1.1642193794250488,93,11
3,3,6562,"LIBERIA , Costa Rica 1996-08-26",B-LOC O B-LOC I-LOC O,"[{'entity': 'LIBERIA', 'label': 'LOC'}, {'entity': 'Costa Rica', 'label': 'LOC'}]",1.694692850112915,81,52
4,4,12247,1. Sorensen 11.20:33,O B-PER O,[],1.4843313694000244,78,11
5,5,4817,9. Akira Ryo ( Japan ) Kawasaki 38:50.269,O B-PER I-PER O B-LOC O B-ORG O,"[{'entity': 'Akira Ryo', 'label': 'PER'}, {'entity': 'Japan', 'label': 'LOC'}, {'entity': 'Kawasaki', 'label': 'ORG'}]",1.9820966720581048,84,72
6,6,13781,"Six months to September 30 , 1996",O O O O O O O,[],1.3744182586669922,78,11
7,7,7614,P1020 ingot 75 cents / pound,O O O O O O,[],0.6050534248352051,78,11
8,8,11768,"Sale Amount : 4,300,000",O O O O,[],0.5824582576751709,77,11
9,9,2808,"The use of riverways in the region has been made a priority under a government plan for the Amazon and the high-speed hovercraft will help reduce the time involved in travelling often massive distances , it said .",O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O,"[{'entity': 'Amazon', 'label': 'LOC'}]",0.7723240852355957,109,31
10,10,12468,Els Callens ( Belgium ) beat Annabel Ellwood ( Australia ) 6-4,B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O,"[{'entity': 'Els Callens', 'label': 'PER'}, {'entity': 'Belgium', 'label': 'LOC'}, {'entity': 'Annabel Ellwood', 'label': 'PER'}, {'entity': 'Australia', 'label': 'LOC'}]",1.0847153663635254,86,91
11,11,6923,"A small bottle of a garishly-coloured sports drink at the sun-drenched U.S. Open is going for $ 3.75 , while a litre of basic , life-sustaining water will set you back $ 4.00 -- for water ?",O O O O O O O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O O O O O O O O O O,"[{'entity': 'U.S. Open', 'label': 'MISC'}]",1.0746431350708008,122,35
