,id,sentence_text,ner_tags_str,entities_pred,llm_time,llm_prompt_tokens,llm_completion_tokens
0,13945,"Attendance : 1,800",O O O,[],0.7938361167907715,74,7
1,13382,"Ties between the two neighbours , strained also over a military accord between Turkey and Israel which drew strong Iranian objections , have improved since Islamist Necmettin Erbakan took over as Turkish prime minister in June .",O O O O O O O O O O O O O B-LOC O B-LOC O O O B-MISC O O O O O B-MISC B-PER I-PER O O O B-MISC O O O O O,"[{'label': 'LOC', 'entity': 'Turkey'}, {'label': 'LOC', 'entity': 'Israel'}, {'label': 'LOC', 'entity': 'Iran'}, {'label': 'PER', 'entity': 'Necmettin Erbakan'}]",2.2205970287323,109,85
2,11240,The winner has to secure a majority from the college within two rounds of voting otherwise the election will go back before the parliament .,O O O O O O O O O O O O O O O O O O O O O O O O O,[],0.5573024749755859,93,7
3,6562,"LIBERIA , Costa Rica 1996-08-26",B-LOC O B-LOC I-LOC O,"[{'entity': 'LIBERIA', 'label': 'LOC'}, {'entity': 'Costa Rica', 'label': 'LOC'}]",1.4182937145233154,81,48
4,12247,1. Sorensen 11.20:33,O B-PER O,"[{'entity': 'Sorensen', 'label': 'PER'}]",0.950519323348999,78,28
5,4817,9. Akira Ryo ( Japan ) Kawasaki 38:50.269,O B-PER I-PER O B-LOC O B-ORG O,"[{'label': 'PER', 'entity': 'Akira Ryo'}, {'label': 'LOC', 'entity': 'Japan'}, {'label': 'ORG', 'entity': 'Kawasaki'}]",2.082773447036743,84,68
6,13781,"Six months to September 30 , 1996",O O O O O O O,[],1.1854147911071775,78,7
7,7614,P1020 ingot 75 cents / pound,O O O O O O,[],0.7256872653961182,78,7
8,11768,"Sale Amount : 4,300,000",O O O O,[],0.6527330875396729,77,7
9,2808,"The use of riverways in the region has been made a priority under a government plan for the Amazon and the high-speed hovercraft will help reduce the time involved in travelling often massive distances , it said .",O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O,"[{'label': 'LOC', 'entity': 'Amazon'}]",0.9771285057067872,109,27
10,12468,Els Callens ( Belgium ) beat Annabel Ellwood ( Australia ) 6-4,B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O,"[{'label': 'PER', 'entity': 'Els Callens'}, {'label': 'LOC', 'entity': 'Belgium'}, {'label': 'PER', 'entity': 'Annabel Ellwood'}, {'label': 'LOC', 'entity': 'Australia'}]",2.322409152984619,86,87
