,id,sentence_text,ner_tags_str,entities_pred,llm_time,llm_prompt_tokens,llm_completion_tokens
0,13945,"Attendance : 1,800",O O O,[],0.6666817665100098,72,10
1,13382,"Ties between the two neighbours , strained also over a military accord between Turkey and Israel which drew strong Iranian objections , have improved since Islamist Necmettin Erbakan took over as Turkish prime minister in June .",O O O O O O O O O O O O O B-LOC O B-LOC O O O B-MISC O O O O O B-MISC B-PER I-PER O O O B-MISC O O O O O,"[{'label': 'LOC', 'entity': 'Turkey'}, {'label': 'LOC', 'entity': 'Israel'}, {'label': 'LOC', 'entity': 'Iran'}, {'label': 'PER', 'entity': 'Necmettin Erbakan'}, {'label': 'LOC', 'entity': 'Turkish'}]",4.617509365081787,106,199
2,11240,The winner has to secure a majority from the college within two rounds of voting otherwise the election will go back before the parliament .,O O O O O O O O O O O O O O O O O O O O O O O O O,"[{'entity': 'parliament', 'label': 'ORG'}]",0.5889279842376709,89,34
3,6562,"LIBERIA , Costa Rica 1996-08-26",B-LOC O B-LOC I-LOC O,"[{'entity': 'LIBERIA', 'label': 'LOC'}, {'entity': 'Costa Rica', 'label': 'LOC'}, {'entity': '1996-08-26', 'label': 'MISC'}]",1.209329605102539,82,127
4,12247,1. Sorensen 11.20:33,O B-PER O,[],0.4310500621795654,77,10
5,4817,9. Akira Ryo ( Japan ) Kawasaki 38:50.269,O B-PER I-PER O B-LOC O B-ORG O,"[{'entity': 'Akira Ryo', 'label': 'PER'}, {'entity': 'Japan', 'label': 'LOC'}, {'entity': 'Kawasaki', 'label': 'LOC'}]",0.7511482238769531,83,73
6,13781,"Six months to September 30 , 1996",O O O O O O O,[],4.518409729003906,77,10
7,7614,P1020 ingot 75 cents / pound,O O O O O O,[],0.7469625473022461,77,10
8,11768,"Sale Amount : 4,300,000",O O O O,[],0.8568511009216309,77,13
9,2808,"The use of riverways in the region has been made a priority under a government plan for the Amazon and the high-speed hovercraft will help reduce the time involved in travelling often massive distances , it said .",O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O,"[{'entity': 'Amazon', 'label': 'LOC'}]",0.5648255348205566,105,32
10,12468,Els Callens ( Belgium ) beat Annabel Ellwood ( Australia ) 6-4,B-PER I-PER O B-LOC O O B-PER I-PER O B-LOC O O,"[{'entity': 'Els Callens', 'label': 'PER'}, {'entity': 'Belgium', 'label': 'LOC'}, {'entity': 'Annabel Ellwood', 'label': 'PER'}, {'entity': 'Australia', 'label': 'LOC'}]",5.726217746734619,82,92
11,6923,"A small bottle of a garishly-coloured sports drink at the sun-drenched U.S. Open is going for $ 3.75 , while a litre of basic , life-sustaining water will set you back $ 4.00 -- for water ?",O O O O O O O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O O O O O O O O O O,"[{'entity': 'U.S. Open', 'label': 'MISC'}]",0.5656487941741943,121,36
12,748,Qualifier vs. 2 - Michael Chang ( U.S. ),O O O O B-PER I-PER O B-LOC O,"[{'entity': 'Michael Chang', 'label': 'PER'}, {'entity': 'U.S.', 'label': 'LOC'}]",0.5783717632293701,78,52
13,10668,AMSTERDAM 1996-08-28,B-LOC O,"[{'entity': 'AMSTERDAM', 'label': 'LOC'}, {'entity': '1996-08-28', 'label': 'MISC'}]",4.826286554336548,79,92
14,3462,But play was finally suspended for the day when the storm continued .,O O O O O O O O O O O O O,[],0.4645588397979736,77,10
15,469,"Celtic 's Jackie McNamara , who did well with last season 's successful under-21 team , earns a call-up to the senior squad .",B-ORG O B-PER I-PER O O O O O O O O O O O O O O O O O O O O,"[{'entity': 'Jackie McNamara', 'label': 'PER'}, {'entity': 'Celtic', 'label': 'ORG'}]",0.7444586753845215,99,57
16,4744,14. Rubens Barrichello ( Brazil ) Jordan 29,O B-PER I-PER O B-LOC O B-ORG O,"[{'entity': 'Rubens Barrichello', 'label': 'PER'}, {'entity': 'Brazil', 'label': 'LOC'}, {'entity': 'Jordan', 'label': 'ORG'}]",1.0966684818267822,78,74
17,219,AD-DIYAR,B-ORG,[],4.3404200077056885,69,10
18,7329,""" The head of state 's holiday has only just begun , "" the agency quoted Sergei Yastrzhembsky as saying , adding that the president was currently in a Kremlin residence near Moscow .",O O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O B-LOC O O B-LOC O,"[{'entity': 'Sergei Yastrzhembsky', 'label': 'PER'}, {'entity': 'president', 'label': 'PER'}, {'entity': 'Kremlin', 'label': 'ORG'}, {'entity': 'Moscow', 'label': 'LOC'}]",1.125082015991211,104,99
19,8700,VfB Stuttgart 3 3 0 0 10 1 9,B-ORG I-ORG O O O O O O O,"[{'entity': 'VfB Stuttgart', 'label': 'ORG'}]",4.519463300704956,83,51
20,6850,Botafogo 3 1 2 0 4 3 5,B-ORG O O O O O O O,"[{'entity': 'Botafogo', 'label': 'ORG'}]",0.9794318675994872,81,49
